Store,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,Mean
Countdown Pakuranga,11,8,5,6,7,8,5,8,7,10,6,10,8,10,4,10,8,8,4,8,7.55
Countdown Papakura,7,5,4,7,5,8,6,6,5,5,5,8,7,7,7,11,8,13,10,10,7.2
Countdown Papatoetoe,9,10,8,5,8,9,11,8,12,7,7,13,8,10,7,6,11,7,12,7,8.75
Countdown Ponsonby,6,10,7,11,12,8,3,11,11,9,11,9,9,5,10,13,5,6,6,11,8.65
Countdown Pt Chevalier,7,8,9,14,7,8,11,11,8,10,6,6,5,10,6,8,5,8,8,9,8.2
Countdown Roselands,8,11,7,9,8,4,8,7,13,6,8,9,12,8,8,7,10,11,7,10,8.55
Countdown St Johns,9,7,7,10,6,10,7,7,7,8,10,5,5,8,8,5,7,4,10,4,7.2
Countdown St Lukes,10,6,6,12,4,5,7,6,5,8,5,6,13,5,9,7,10,5,6,6,7.05
Countdown Sunnynook,9,7,8,8,7,8,9,9,12,10,10,10,10,5,10,6,11,6,6,9,8.5
Countdown Sylvia Park,7,7,8,8,9,10,8,5,15,3,11,5,5,10,10,7,6,12,7,11,8.2
Countdown Takanini,6,10,10,3,15,8,10,8,9,8,8,9,10,6,10,5,6,5,9,5,8.0
Countdown Takapuna,5,7,4,7,8,8,7,5,6,8,8,5,9,8,10,10,6,13,8,12,7.7
Countdown Te Atatu,9,10,6,11,4,12,4,6,6,8,6,9,6,6,8,8,8,5,8,12,7.6
Countdown Te Atatu South,8,7,11,7,12,9,9,7,8,6,6,8,9,5,4,9,10,5,8,10,7.9
Countdown Three Kings,10,12,11,9,11,9,11,8,7,7,13,14,7,7,8,6,6,7,10,8,9.05
Countdown Victoria Street West,15,7,8,13,12,4,10,9,8,10,14,9,10,6,10,8,8,8,8,11,9.4
Countdown Westgate,7,6,6,9,5,6,10,13,7,7,5,13,10,8,8,11,8,9,8,7,8.15
FreshChoice Glen Eden,5,6,3,2,4,5,4,3,5,2,5,4,3,3,4,3,5,8,5,3,4.1
FreshChoice Half Moon Bay,3,5,6,2,4,3,8,5,4,4,4,3,4,6,5,6,5,4,8,3,4.6
FreshChoice Mangere Bridge,7,5,3,2,5,4,6,4,6,5,8,3,6,2,6,5,3,7,2,3,4.6
FreshChoice Otahuhu,4,2,5,5,5,4,2,4,3,3,4,2,5,2,5,5,4,3,5,3,3.75
FreshChoice Ranui,3,5,3,7,5,4,4,6,5,5,3,4,5,5,2,4,7,6,8,4,4.75
SuperValue Avondale,3,2,6,6,4,3,8,5,3,3,4,5,2,5,5,5,5,5,5,5,4.45
SuperValue Flatbush,6,7,4,3,5,4,6,4,3,7,7,5,3,5,3,5,4,5,4,3,4.65
SuperValue Palomino,4,2,2,6,3,7,6,6,5,4,6,4,3,5,5,5,5,5,7,7,4.85
SuperValue Papakura,4,6,4,5,5,7,4,3,6,3,3,4,6,2,6,6,6,6,3,6,4.75
SuperValue Titirangi,3,3,4,3,4,7,4,2,5,6,2,6,6,3,3,3,4,7,7,5,4.35
